date,sentence,col3
2021-12-08,苹果最新规划的大动作 全年业绩有望高增长的概念股出炉（附股）,新浪
2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
2021-12-08,【电子】电子行业2022年度策略—产业向新常态回归，聚焦高成长赛道,中银证券研究
2021-12-08,北向资金动向盘点：狂买金融股，风格已变,Wind
2021-12-08,北向资金扫货A股近80亿元！大幅增持银行券商，减持有色金属（附股） 减持股份,21世纪经济报道
2021-12-08,大基金二期频出手，这类芯片价格创六年新高，高增长概念股名单出炉,Wind
2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
2021-12-08,华富基金陈奇：在景气赛道中寻找长期确定性——公募基金每周一基系列,华宝财富魔方
2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
2021-12-07,容大感光：截止目前，公司与韦尔股份无合作关系,每日经济新闻
2021-12-07,韦尔股份(603501.SH)控股股东解除质押100万股,智通财经
2021-12-07,韦尔股份：虞仁荣解除质押100万股,每日经济新闻
2021-12-07,韦尔股份(603501.SH)：控股股东虞仁荣解押100万股,格隆汇
2021-12-07,资金流向分析,新浪
2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
2021-12-06,韦尔股份收监管工作函 就报道和股价波动明确监管要求 其他违规处罚,中国经济网
2021-12-06,电子周报：车用芯片供给逐步升温；联电将启动新一轮长约涨价,新浪
2021-12-06,北上资金青睐建筑装饰行业,Wind
2021-12-05,华西证券给予韦尔股份买入评级，汽车智能化下半场，车规CIS助力升级自动驾驶,每日经济新闻
2021-12-05,华西证券：给予韦尔股份买入评级,证券之星
2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
2021-12-04,2021中国上市公司软实力巡礼：韦尔股份价值96.49亿元 排序第52名,搜狐
2021-12-04,沪指重上3600点，北向资金净买入92亿元,Wind
2021-12-03,晚间要闻2021年12月3日星期五,Wind
2021-12-03,2天大涨13%后，2600亿半导体巨头被监管“盯”上了,搜狐
2021-12-03,陆股通净买入92.21亿元，连续3日净买入,证券时报网
2021-12-03,北向资金豪买A股92亿元，买入兆易创新9.4亿元，加仓4只白酒股10亿元（名单）,21经济网
2021-12-03,上交所向韦尔股份及董监高下发监管工作函,北京商报
2021-12-03,上交所向韦尔股份下发监管工作函,Wind
2021-12-03,韦尔股份现1笔大宗交易 共成交607.50万元,新浪
2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
2021-12-03,曾经的白酒又回来了？叫板茅台江湖地位，五粮液放大招提价！“二锅头”甩掉包袱，狂飙2连板！,雪球
2021-12-03,韦尔股份澄清公司第四季度业绩无重大变化，旗下专利过千,贝壳财经
2021-12-03,资讯：千亿芯片龙头涨停背后：汽车半导体需求或暴增，韦尔股份获多家券商看好,财联社
2021-12-03,周琦：韦尔股份提前开启年报行情 半导体行业业绩有持续性,第一财经
2021-12-03,媒体报道“吓坏”半导体龙头，涨停后紧急澄清：我没有 别瞎说,证券之星
2021-12-03,股价暴涨因四季度业绩超预期？半导体巨头韦尔股份紧急澄清,资本邦
2021-12-03,圣邦股份、韦尔股份、兆易创新涨超5%，芯片ETF（512760）涨超2.5%,资本邦
2021-12-03,融资客青睐6股，皖能电力买入占比高达40.97%,Wind
2021-12-03,每日理财观察：支付宝与中国银联互联互通新进展,Wind
2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
2021-12-03,盘前情报丨千亿市值芯片股“排队”涨停；硅片打响价格战,21世纪经济报道
2021-12-03,A股早报2021年12月3日星期五,Wind
2021-12-03,波音737MAX在华重获适航许可；通用汽车上调盈利预期，称芯片供应改善；辉瑞高管：预计疫苗面对Omicron，效力不会显著下降,每经头条
2021-12-03,小K播早报|我国正在快速推进奥密克戎株疫苗研发 丰田拟推出采用比亚迪技术的汽车,财联社
2021-12-03,银河证券：电子行业盈利端有望维持快速增长，维持“推荐”评级,智通财经
2021-12-03,【中证盘前】8天6板陕西金叶收交易所关注函；华友钴业拟向孚能科技销售三元前驱体；韦尔股份称第四季度业绩无重大变化,中证报
2021-12-03,38秒涨停！2500亿半导体巨头突然火了，股东人均爆赚33万！因4季度业绩超预期？紧急澄清来了！,e公司
2021-12-02,光伏巨头跟进降价，价格战来了，电子烟监管靴子落地！,新浪
2021-12-02,盘后公告集锦|涉嫌内幕交易？八天六板电子烟妖股收交易所关注函,财联社
2021-12-02,四季度业绩超预期？韦尔股份开盘秒涨停，澄清公告来了,中新经纬
2021-12-02,芯片股“开盲盒”？千亿市值芯片股“排队”涨停，2500亿龙头股触板仅用38秒，下个会是谁,财联社
2021-12-02,韦尔股份：不存在向投资人提供公司第四季度业绩情况,上证报
2021-12-02,股民人均赚33万 2500亿芯片巨头韦尔股份38秒涨停,快科技
2021-12-02,【晚间公告抢先看】方正证券拟出售25.21亿元参股公司股权、中国能建子公司签署152.2亿元海上风电场等项目,金融界
2021-12-02,每经20点丨北京海淀区1名来京人员核酸结果为阳性；中国电力获南向资金净买入超12亿港元；法国本土发现首例奥密克戎毒株感染病例,每日经济新闻
2021-12-02,晚间重要公告2021年12月2日星期四,Wind
2021-12-02,韦尔股份，赌出未来,格隆汇
2021-12-02,“芯片巨头”韦尔股份（603501.SH）涨停！汽车CIS即将爆发？,财华社
2021-12-02,是否泄露或确认未披露业绩信息？韦尔股份回复上交所监管工作函 安全事故,资本邦
2021-12-02,韦尔股份(603501.SH)澄清：车用图像传感器产品受汽车整车销售规模季节性波动影响不大,智通财经
2021-12-02,韦尔股份澄清媒体报道：第四季度业绩无重大变化,财联社
2021-12-02,韦尔股份澄清媒体报道：公司在近期的业绩说明会及投资者的交流活动过程中，不存在向投资人交流提供公司第四季度业绩或预期业绩的情况；公司目前生产经营正常，公司第四季度业绩与公司前三季度业绩相比，经营情况无重,财联社
2021-12-02,韦尔股份澄清媒体报道：第四季度业绩无重大变化,Wind
2021-12-02,重大改变！这些股将迎来超级资金,证券之星
2021-12-02,格雷厄姆都要哭了！“丐帮”龙头续刷新低，年内股价已腰斩！市值亏掉一个贵州茅台！股民：被套15个月，还有希望回本吗？,雪球
2021-12-02,A股资金流向：低位低价成短线核心，赛道股分歧加剧,Wind
2021-12-02,12月2日韦尔股份涨停分析：汽车芯片，中芯国际概念股，无线耳机概念热股,证券之星
2021-12-02,收评：沪指跌0.09% 两市逾3300股下跌 汽车板块逆市走强,网易
2021-12-02,A股收盘综述：大基建跃跃欲试，稀土午后崛起，元宇宙深度回调,Wind
2021-12-02,韦尔股份封板涨停，5G50ETF（159811）四连阳,资本邦
2021-12-02,韦尔股份三季度营收微降，三季报255家机构持仓 盈利能力下降,阿尔法工场
2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
2021-12-02,2500亿市值芯片巨头涨停！汽车股掀涨停潮，券商“一哥”力挺白酒股,中证报
2021-12-02,2500亿芯片股突然涨停！港股科技股再跳水，网易云音乐首日破发，恒大汽车盘中重挫20%…啥情况？,证券时报
2021-12-02,什么情况？大佬喊话后，千亿芯片龙头轮番涨停,财联社
2021-12-02,跌掉茅台+五粮液市值总和，这家公司股价创历史新低。芯片龙头涨停，低位高景气热门股名单来了,微信
2021-12-02,A股午盘综述：股指横盘，大基建跃跃欲试；翻两倍股又大涨！,Wind
2021-12-02,异动快报：韦尔股份（603501）12月2日10点48分封涨停板,中金在线
2021-12-02,韦尔股份涨停，智能汽车ETF（159889）涨超1.5%,资本邦
2021-12-02,快讯：韦尔股份涨停 报于293.65元,金融界
2021-12-02,半导体板块走强 韦尔股份涨停,格隆汇
2021-12-02,半导体指数拉升，韦尔股份涨停,Wind
2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
2021-12-01,韦尔股份：汽车CIS领先,半导体风向标
2021-12-01,探索财富密码｜凭借收购跃升CIS设计龙头，韦尔股份再搭“车芯”企业欲寻业绩“第二春”,财经网
2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
2021-12-01,中国银河维持电子行业推荐评级：手机需求回暖，功率器件需求旺盛,每日经济新闻
2021-12-01,资金流向分析,新浪
2021-11-30,浦东科创集团市场化创投平台海望资本启动 6支股权基金签约,证券时报网
2021-11-30,2200亿锂电龙头跳水！北上资金逆向操作,Wind
2021-11-29,电子行业周报：半导体厂房建设投资创历史新高,新浪
2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
2021-11-26,上证50跌幅扩大至1%,Wind
2021-11-25,深度*行业*电子行业周报：TI宣布新厂建设计划 联发科发布4NM处理器,新浪
2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
2021-11-22,电子周报：手机厂商开拓汽车“下半场” 半导体处于健康的投资周期,新浪
2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
2021-11-22,电子行业周报：苹果公司重回全球第一的宝座,新浪
2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
2021-11-21,百元芯片股明天申购！新股回暖，打新军团返场,Wind
2021-11-21,下周操盘攻略：波动将明显加剧,Wind
2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
2021-11-19,消费电子概念走势活跃 共达电声、歌尔股份等拉升走高,证券时报网
2021-11-19,【机会挖掘】交通运输部强调加快自动驾驶技术使用 机构建议关注三条投资主线,证券时报网
2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
2021-11-18,深度*行业*电子行业周报：代工双雄营收创新高 英伟达更新OMNIVERSE,新浪
2021-11-18,北向资金抛售白酒，买入电子元件！锂电池板块“王者归来”，这些个股受青睐（名单）,21世纪经济报道
2021-11-17,华西证券：给予韦尔股份买入评级,证券之星
2021-11-17,华西证券维持韦尔股份买入评级：加快系列面板驱动IC布局，2022年替代提速,每日经济新闻
2021-11-16,海外最大中国股票基金出手！加仓这只A股万亿巨头,Wind
2021-11-16,海外最大中国股票基金出手！加仓这只A股万亿巨头,中国基金报
2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
2021-11-15,新股精要：国内优质的功率半导体设计企业芯导科技,新浪
2021-11-12,韦尔股份现1笔大宗交易 共成交886.57万元,新浪
2021-11-12,韦尔股份今日大宗交易成交3.23万股，成交价274.48元溢价0.83%,Wind
2021-11-11,韦尔股份现7笔大宗交易 总成交金额5835.44万元,证券时报网
2021-11-11,韦尔股份今日大宗交易成交21.26万股，成交价274.48元溢价0.0%,Wind
2021-11-11,"韦尔股份现7笔大宗交易 共成交5,835.44万元",新浪
2021-11-10,韦尔股份(603501.SH)：相关股票期权第二个行权期拟行权数量为268.628万份,格隆汇
2021-11-10,消费电子概念再度活跃，昀冢科技大涨超12%，东尼电子等涨停,证券时报网
2021-11-09,天风证券：维持韦尔股份(603501.SH)“买入”评级 业绩持续增长 车载CIS业务发展迅速,智通财经
2021-11-09,天风证券：给予韦尔股份买入评级,证券之星
2021-11-09,天风证券维持韦尔股份买入评级：21Q3业绩持续增长，平台化发展优势显现,每日经济新闻
2021-11-08,三季报回顾：核心龙头延续增长 半导体持续呈现高景气,新浪
2021-11-08,韦尔股份(603501.SH)副总经理纪刚等减持59.1万股 减持期限已满 减持股份,智通财经
2021-11-08,韦尔股份：控股股东一致行动人、董事、高级管理人员减持股份时间区间届满 减持股份,每日经济新闻
2021-11-08,韦尔股份(603501.SH)：纪刚、贾渊及虞小荣已合计减持59.1万股 减持股份,格隆汇
2021-11-08,韦尔股份：控股股东一致行动人等累计减持59.1万股，完成减持计划 拟减持股份,Wind
2021-11-08,新股分析|盛美上海：半导体设备供货多家龙头 但供应链安全性成隐忧,财联社
2021-11-08,北京君正：13亿元定增落袋 30亿元账面商誉暗含减值风险 资产异常,面包财经
2021-11-05,A股收盘综述：元宇宙一枝独秀，周期、新能源、房地产、电力板块集体哑火,Wind
2021-11-05,电子行业专题研究：3Q持仓分析 北上持续加码半导体,新浪
2021-11-05,安信证券：首予韦尔股份(603501.SH)“买入-A”评级 目标价352元,智通财经
2021-11-05,安信证券给予韦尔股份买入评级：产品结构持续优化，汽车CIS有望打造第二成长曲线,每日经济新闻
2021-11-04,韦尔股份今日大宗交易成交2.32万股，成交价278.62元溢价0.0%,Wind
2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
2021-11-04,银河证券：电子行业三季度业绩表现较好，板块分化显著,第一财经
2021-11-03,韦尔股份今日大宗交易成交12.80万股，成交价278.5元溢价0.0%,Wind
2021-11-03,东方证券维持韦尔股份买入评级，韦尔股份系列报告之汽车业务：打开视觉空间，布局多产品,每日经济新闻
2021-11-03,东方证券：给予韦尔股份买入评级，目标价位363.63元,证券之星
2021-11-03,"韦尔股份现2笔大宗交易 共成交3,564.80万元",新浪
2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
2021-11-03,华创证券：维持韦尔股份(603501.SH)“强推”评级 目标价361.9元,智通财经
2021-11-03,方正证券：维持韦尔股份(603501.SH)“推荐”评级 产能持续提升 业绩增长亮眼,智通财经
2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
2021-11-03,A股早报2021年11月3日星期三,Wind
2021-11-02,A股共发生220宗大宗交易成交35.45亿元（11月2日）,Wind
2021-11-02,韦尔股份今日大宗交易成交59.54万股，成交价242.91元折价14.09%,Wind
2021-11-02,"韦尔股份现1笔大宗交易 共成交14,462.86万元",新浪
2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
2021-11-02,飙涨30%临停！啥情况？新股蹦极跳，A股有“锂”就涨，多只千亿巨头暴拉…这家港股能源上市公司股价崩了，狂泻近50%,证券时报
2021-11-02,国海证券：维持韦尔股份(603501.SH)“买入”评级 合理区间190.01-345元,智通财经
2021-11-02,国海证券给予韦尔股份买入评级：2021Q3 业绩符合预期，看好公司非手机业务发展,每日经济新闻
2021-11-01,信达证券给维持韦尔股份买入评级：逆风显韧劲，开启平台型半导体龙头新征程,每日经济新闻
2021-11-01,信达证券：给予韦尔股份买入评级,证券之星
2021-11-01,韦尔股份(603501.SH)：授予187名激励对象359.7万股限制性股票,格隆汇
2021-11-01,国金证券：维持韦尔股份(603501.SH)“买入”评级 业绩符合预期 综合毛利率逐季提升,智通财经
2021-11-01,韦尔股份(603501)3季报点评：单季毛利率创历史新高 盈利能力大幅提升,新浪
2021-11-01,基石资本杨胜君： 看多中国的我们，是如何做科技投资的？,21世纪经济报道
2021-11-01,韦尔股份(603501)2021年三季报点评：利润环比增长 平台型FABLESS显优势,新浪
2021-10-31,国金证券维持韦尔股份买入评级：Q3业绩符合预期，汽车与TDDI续写新动力,每日经济新闻
2021-10-31,国金证券：给予韦尔股份买入评级，目标价位323.67元,证券之星
2021-10-31,盈亚证券咨询 大盘短期有回调需求，调整即是加仓好时机,搜狐
2021-10-30,巨头扩产缓解芯片荒，存储市场价格松动,Wind
2021-10-29,下周253亿市值限售股解禁，中金公司解禁101.19亿元居首 解禁,Wind
2021-10-29,韦尔股份第三季度净利润同比增长73.11%,上证报
2021-10-29,韦尔股份公布三季报 前三季净利增加103.78%,新浪
2021-10-29,中国电源管理芯片行业竞争格局及市场份额,Ofweek
2021-10-29,韦尔股份(603501.SH)前三季度归母净利润同比增长103.78%至35.18亿元,智通财经
2021-10-29,韦尔股份：第三季度净利同比增73.11% 北向资金增持,e公司
2021-10-29,韦尔股份：第三季度净利12.75亿元，同比增73.11%,格隆汇
2021-10-29,韦尔股份：第三季度净利润12.75亿元，同比增长73.11%,Wind
2021-10-29,韦尔股份：前三季度净利润同比增长103.78%,Wind
2021-10-29,A股新股破发成常态，中证协、沪深交易所联手整治网下报价异常,Wind
2021-10-29,定增频现“A投A”，产业巨头身影不断,Wind
2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
2021-10-28,A股异动 | 韦尔股份(603501.SH)逆势涨4.47% 汽车芯片龙头英飞凌频创新高,格隆汇
2021-10-28,韦尔股份、兆易创新涨超5%，芯片ETF（512760）涨超1%,资本邦
2021-10-27,上海区域股市周报：晶丰明源跌19.60%跌幅第一 1亿融资买入上汽集团,每日经济新闻
2021-10-27,电子周报：中芯国际积极扶持战略供应商 继续看好设备材料、功率和模拟,新浪
2021-10-27,韦尔股份，半导体赌徒,前瞻研究院
2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
2021-10-26,北京君正三季度盈利劲增产业链绑定深化 资本分歧显现,e公司
2021-10-26,韦尔股份：汽车安防CIS高速增长,半导体风向标
2021-10-26,消费电子概念发力上扬 信维通信、东山精密等大涨,证券时报网
2021-10-25,千亿传感器产业刚起航，这些上市公司已崭露头角,Wind
2021-10-25,共达电声：韦尔股份不是公司客户，目前与公司未有业务往来,Wind
2021-10-25,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
2021-10-23,银河龙头股票同类排名垫底，短期业绩遭质疑,Wind
2021-10-23,流入300亿+！外资大幅加仓宁德时代、五粮液、茅台等巨头,Wind
2021-10-23,360家上市公司前三季度净利润同比增长,Wind
2021-10-22,【晚间公告抢先看】贵州茅台第三季度净利126.12亿元 同比增长12%、三六零拟以10亿元-15亿元回购公司股份,金融界
2021-10-22,晚间公告｜10月22日这些公告有看头,第一财经
2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
2021-10-22,韦尔股份(603501.SH)：拟以5.5亿元参与认购北京君正定增股份,格隆汇
2021-10-22,韦尔股份(603501.SH)拟以5.5亿元认购北京君正向特定对象发行的股票,智通财经
2021-10-22,韦尔股份：拟5.5亿元参与认购北京君正向特定对象发行股票,财联社
2021-10-22,国科微前三季净利大增119倍，机构建议四主线关注半导体板块投资机会,第一财经
2021-10-21,"【公司点评】韦尔股份：2021Q3指引符合预期,车载CIS或开启成长第二极",吉森电子研究
2021-10-21,韦尔股份(603501.SH)：91.67万股限制性股票将于11月1日上市流通,格隆汇
2021-10-20,韦尔股份大宗交易成交3.00万股 成交额741.69万元,证券时报
2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
2021-10-19,电子行业周报：台积电2021Q3业绩解读及2021Q4展望,国海证券
2021-10-19,韦尔股份现1笔大宗交易 共成交741.69万元,新浪
2021-10-19,北向资金今日净流入超39亿元，加仓宁德时代逾7亿元,第一财经
2021-10-19,北向资金今日净买入39.06亿元，继续大幅加仓宁德时代超7亿元,Wind
2021-10-19,人民币飙升引发资金回流？上一轮升值北上资金单周扫货逾400亿,Wind
2021-10-19,2022年中国电源管理芯片行业全景图谱,OFweek
2021-10-19,电子行业周报：关注3Q公司业绩预告,新浪
2021-10-19,深度*行业*电子行业周报：需求与产能共振 半导体产业持续增长可期,新浪
2021-10-18,【华西电子孙远峰团队】韦尔股份*系列一张图⑩-持续推荐,远峰电子
2021-10-18,2021年10月第2周策略周报：PPI和CPI剪刀差扩大反映经济传导机制不畅 货币政策延续边际收紧预期,新浪
2021-10-18,发生了什么？5万亿赛道突然大跌：茅台跌6%！,Wind
2021-10-18,芯片股整体疲软，北京君正、韦尔股份、兆易创新、晶方科技纷纷下滑,Wind
2021-10-18,半导体周跟踪：三季报陆续披露 高增长逻辑再次兑现,新浪
2021-10-18,科技硬件周报：半导体景气周期延续,新浪
2021-10-18,A股异动 | 半导体板块走低 韦尔股份(603501.SH)跌逾5%,格隆汇
2021-10-18,电子行业周报：关注折叠屏创新、荣耀崛起以及苹果MINILED新品发布,新浪
2021-10-18,陆家嘴财经早餐2021年10月18日星期一,Wind
2021-10-17,【中信建投电子|刘双锋&雷鸣团队】韦尔股份(603501)：21Q3业绩预告符合预期，车载CIS及显示IC驱动长期成长,中信建投电子研究
2021-10-17,茅台也不香了？全球持有最多的基金减持超10% 减持股份,Wind
2021-10-17,首批“茅”概念业绩出炉，“医药女神”大举加仓中药茅,Wind
2021-10-17,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
2021-10-15,国海证券：维持韦尔股份(603501.SH)“买入”评级 车载CIS或开启成长第二极,智通财经
2021-10-14,73股获买入评级 最新:和 而 泰,中财网
2021-10-14,晶方科技：公司积极布局第三代半导体领域,Wind
2021-10-14,"韦尔股份现1笔大宗交易 共成交2,488.80万元",新浪
2021-10-14,韦尔股份今日大宗交易成交10万股，成交价248.88元溢价0.0%,Wind
2021-10-14,韦尔股份：股东累计质押情况,每日经济新闻
2021-10-14,又见业绩大增股价大跌！富满电子第三季度净利增速放缓，缺芯潮负面影响显现 盈利能力下降,21世纪经济报道
2021-10-14,国海证券维持韦尔股份买入评级，业绩预告点评：2021Q3指引符合预期，车载CIS或开启成长第二极,每日经济新闻
2021-10-13,【兴证策略 | 陆股通】近期外资加仓哪些板块?,尧望后势
2021-10-13,韦尔股份(603501)首次覆盖报告：国内CIS设计龙头 手机、汽车和安防等市场正在多点突破,新浪
2021-10-13,基金经理组团下矿井、百亿量化私募突发大事,Wind
2021-10-13,半导体板块走势活跃 中颖电子、晶丰明源等大涨超10%,证券时报网
2021-10-13,千亿芯片龙头两天大跌17%，半导体景气度见顶了？,Wind
2021-10-13,北向资金动向盘点：袖手旁观,Wind
2021-10-13,北向资金大调仓！增持食品饮料、减持电子信息，这些行业龙头获净买入超亿元（名单） 减持股份,21世纪经济报道
2021-10-12,21硬核投研丨千亿芯片龙头卓胜微两天大跌17%，半导体景气度见顶了？,21世纪经济报道
2021-10-12,民生证券维持韦尔股份推荐评级：Q3逆势稳健增长，全年业绩高增可期,每日经济新闻
2021-10-12,韦尔股份前三季净利预计翻倍背后：大股东持续减持套现，股价逆势暴跌 拟减持股份,搜狐
2021-10-12,北向资金今日净卖出13.79亿元。东方财富、韦尔股份、万科A分别获净卖出6,新浪
2021-10-12,北向资金成交缩量全天净卖出近14亿元，东方财富遭大幅净卖出6亿元,Wind
2021-10-12,韦尔股份(603501)：非手机业务增长弥补手机疲软影响,新浪
2021-10-12,韦尔股份业绩增速回落，实控人频频减持，朱少醒、葛兰大佬也要折了腰？ 盈利能力下降,证券之星
2021-10-12,韦尔股份前三季度净利预计翻倍，股价却顶不住了？CIS芯片龙头下半年股价回撤逾30%,21世纪经济报道
2021-10-12,电子行业周报：对当前半导体板块投资机会的深度思考,国海证券
